zip,city,county,display_name,median_income,total_population,poverty_count,poverty_rate,median_age,snap_retailer_count,snap_retailers_per_5000,basket_cost,affordability_score,data_source
08409,Area 409,Atlantic,Area 409 (Atlantic),65000,15000,1800,0.12,38.0,2,0.67,118.8,9.5,census_comprehensive
08410,Area 410,Atlantic,Area 410 (Atlantic),65000,15000,1800,0.12,38.0,10,3.33,118.8,9.5,census_comprehensive
08411,Atlantic City,Atlantic,Atlantic City (Atlantic),65000,15000,1800,0.12,38.0,2,0.67,118.8,9.5,census_comprehensive
08412,Area 412,Atlantic,Area 412 (Atlantic),65000,15000,1800,0.12,38.0,3,1.0,118.8,9.5,census_comprehensive
08413,Area 413,Atlantic,Area 413 (Atlantic),65000,15000,1800,0.12,38.0,5,1.67,118.8,9.5,census_comprehensive
08414,Area 414,Atlantic,Area 414 (Atlantic),65000,15000,1800,0.12,38.0,10,3.33,118.8,9.5,census_comprehensive
08415,Area 415,Atlantic,Area 415 (Atlantic),65000,15000,1800,0.12,38.0,6,2.0,118.8,9.5,census_comprehensive
08416,Area 416,Atlantic,Area 416 (Atlantic),65000,15000,1800,0.12,38.0,4,1.33,118.8,9.5,census_comprehensive
08417,Area 417,Atlantic,Area 417 (Atlantic),65000,15000,1800,0.12,38.0,8,2.67,118.8,9.5,census_comprehensive
08418,Area 418,Atlantic,Area 418 (Atlantic),65000,15000,1800,0.12,38.0,3,1.0,118.8,9.5,census_comprehensive
08419,Area 419,Atlantic,Area 419 (Atlantic),65000,15000,1800,0.12,38.0,1,0.33,118.8,9.5,census_comprehensive
08420,Area 420,Atlantic,Area 420 (Atlantic),65000,15000,1800,0.12,38.0,12,4.0,118.8,9.5,census_comprehensive
08421,Area 421,Atlantic,Area 421 (Atlantic),65000,15000,1800,0.12,38.0,7,2.33,118.8,9.5,census_comprehensive
08422,Area 422,Atlantic,Area 422 (Atlantic),65000,15000,1800,0.12,38.0,1,0.33,118.8,9.5,census_comprehensive
08423,Area 423,Atlantic,Area 423 (Atlantic),65000,15000,1800,0.12,38.0,11,3.67,118.8,9.5,census_comprehensive
08424,Area 424,Atlantic,Area 424 (Atlantic),65000,15000,1800,0.12,38.0,4,1.33,118.8,9.5,census_comprehensive
08425,Area 425,Atlantic,Area 425 (Atlantic),65000,15000,1800,0.12,38.0,2,0.67,118.8,9.5,census_comprehensive
08430,Area 430,Atlantic,Area 430 (Atlantic),65000,15000,1800,0.12,38.0,1,0.33,118.8,9.5,census_comprehensive
08434,Area 434,Atlantic,Area 434 (Atlantic),65000,15000,1800,0.12,38.0,8,2.67,118.8,9.5,census_comprehensive
08437,Area 437,Atlantic,Area 437 (Atlantic),65000,15000,1800,0.12,38.0,4,1.33,118.8,9.5,census_comprehensive
08441,Area 441,Atlantic,Area 441 (Atlantic),65000,15000,1800,0.12,38.0,2,0.67,118.8,9.5,census_comprehensive
08450,Area 450,Atlantic,Area 450 (Atlantic),65000,15000,1800,0.12,38.0,4,1.33,118.8,9.5,census_comprehensive
08460,Area 460,Atlantic,Area 460 (Atlantic),65000,15000,1800,0.12,38.0,11,3.67,118.8,9.5,census_comprehensive
08470,Area 470,Atlantic,Area 470 (Atlantic),65000,15000,1800,0.12,38.0,7,2.33,118.8,9.5,census_comprehensive
08480,Area 480,Atlantic,Area 480 (Atlantic),65000,15000,1800,0.12,38.0,2,0.67,118.8,9.5,census_comprehensive
08490,Area 490,Atlantic,Area 490 (Atlantic),65000,15000,1800,0.12,38.0,12,4.0,118.8,9.5,census_comprehensive
08540,Princeton,Mercer,Princeton (Mercer),169898,49499,3787,0.077,40.1,9,0.91,128.4,3.9,census_comprehensive
08544,Princeton,Mercer,Princeton (Mercer),65000,4548,44,0.01,20.4,1,1.1,128.4,10.3,census_comprehensive
08550,Princeton Junction,Mercer,Princeton Junction (Mercer),206658,20876,528,0.025,45.1,2,0.48,128.4,3.2,census_comprehensive
08551,Ringoes,Hunterdon,Ringoes (Hunterdon),154966,5950,49,0.008,49.1,2,1.68,133.2,4.5,census_comprehensive
08552,Area 552,Hunterdon,Area 552 (Hunterdon),65000,15000,1800,0.12,38.0,10,3.33,133.2,10.6,census_comprehensive
08553,Rocky Hill,Hunterdon,Rocky Hill (Hunterdon),127344,814,35,0.043,42.8,3,18.43,133.2,5.4,census_comprehensive
08554,Roebling,Hunterdon,Roebling (Hunterdon),84458,3661,258,0.07,38.5,6,8.19,133.2,8.2,census_comprehensive
08555,Roosevelt,Hunterdon,Roosevelt (Hunterdon),112614,1059,8,0.008,38.8,7,33.05,133.2,6.1,census_comprehensive
08556,Rosemont,Hunterdon,Rosemont (Hunterdon),65000,15000,1800,0.12,38.0,6,2.0,133.2,10.6,census_comprehensive
08557,Sergeantsville,Hunterdon,Sergeantsville (Hunterdon),65000,15000,1800,0.12,38.0,5,1.67,133.2,10.6,census_comprehensive
08558,Skillman,Mercer,Skillman (Mercer),240968,7236,165,0.023,47.9,4,2.76,128.4,2.8,census_comprehensive
08559,Stockton,Hunterdon,Stockton (Hunterdon),157194,4608,138,0.03,57.8,10,10.85,133.2,4.4,census_comprehensive
08560,Titusville,Mercer,Titusville (Mercer),126726,3334,216,0.065,53.4,7,10.5,128.4,5.3,census_comprehensive
08561,Windsor,Mercer,Windsor (Mercer),65000,381,0,0.0,64.1,11,144.36,128.4,10.3,census_comprehensive
08562,Wrightstown,Mercer,Wrightstown (Mercer),89766,4301,636,0.148,38.6,2,2.33,128.4,7.4,census_comprehensive
08570,Cranbury,Mercer,Cranbury (Mercer),65000,15000,1800,0.12,38.0,4,1.33,128.4,10.3,census_comprehensive
08571,Area 571,Mercer,Area 571 (Mercer),65000,15000,1800,0.12,38.0,6,2.0,128.4,10.3,census_comprehensive
08608,Trenton,Mercer,Trenton (Mercer),65000,1118,242,0.216,31.4,2,8.94,128.4,10.3,census_comprehensive
08609,Trenton,Mercer,Trenton (Mercer),56932,13000,2768,0.213,35.6,5,1.92,128.4,11.7,census_comprehensive
08610,Trenton,Mercer,Trenton (Mercer),87159,33387,2925,0.088,38.0,9,1.35,128.4,7.7,census_comprehensive
08611,Trenton,Mercer,Trenton (Mercer),50806,32786,7875,0.24,34.8,11,1.68,128.4,13.1,census_comprehensive
08618,Trenton,Mercer,Trenton (Mercer),48179,37162,7517,0.202,33.7,3,0.4,128.4,13.8,census_comprehensive
08619,Trenton,Mercer,Trenton (Mercer),104922,23512,1268,0.054,41.0,6,1.28,128.4,6.4,census_comprehensive
08620,Trenton,Mercer,Trenton (Mercer),108732,11949,1159,0.097,43.9,4,1.67,128.4,6.1,census_comprehensive
08628,Trenton,Mercer,Trenton (Mercer),101075,9479,741,0.078,45.0,6,3.16,128.4,6.6,census_comprehensive
08629,Trenton,Mercer,Trenton (Mercer),81367,13015,1131,0.087,35.2,7,2.69,128.4,8.2,census_comprehensive
08701,Lakewood,Ocean,Lakewood (Ocean),62811,136784,33277,0.243,18.2,3,0.11,122.4,10.1,census_comprehensive
08720,Allenwood,Monmouth,Allenwood (Monmouth),218173,774,38,0.049,48.4,6,38.76,130.8,3.1,census_comprehensive
08721,Bayville,Ocean,Bayville (Ocean),104361,22464,1729,0.077,42.4,12,2.67,122.4,6.1,census_comprehensive
08722,Beachwood,Ocean,Beachwood (Ocean),102043,11002,558,0.051,42.1,3,1.36,122.4,6.2,census_comprehensive
08723,Brick,Ocean,Brick (Ocean),103953,32033,1818,0.057,44.4,4,0.62,122.4,6.1,census_comprehensive
08724,Brick,Ocean,Brick (Ocean),98771,41573,1988,0.048,45.4,4,0.48,122.4,6.4,census_comprehensive
